date_ligne_commande,id_article,ref_article,quantite
2024-01-01,1,REF001,16
2024-01-01,2,REF002,82
2024-01-01,3,REF003,67
2024-01-01,4,REF004,61
2024-01-01,4,REF004,56
2024-01-01,4,REF004,50
2024-01-01,5,REF005,19
2024-01-01,5,REF005,15
2024-01-01,5,REF005,21
2024-01-01,6,REF006,70
2024-01-01,6,REF006,62
2024-01-01,7,REF007,28
2024-01-01,7,REF007,89
2024-01-01,7,REF007,32
2024-01-01,9,REF009,46
2024-01-01,9,REF009,50
2024-01-01,9,REF009,41
2024-01-01,9,REF009,88
2024-01-01,10,REF010,45
2024-01-01,10,REF010,43
2024-01-01,10,REF010,18
2024-01-01,11,REF011,36
2024-01-01,13,REF013,7
2024-01-01,13,REF013,73
2024-01-01,14,REF014,96
2024-01-01,15,REF015,46
2024-01-01,15,REF015,77
2024-01-01,15,REF015,46
2024-01-01,16,REF016,3
2024-01-01,17,REF017,55
2024-01-01,18,REF018,35
2024-01-01,18,REF018,15
2024-01-01,18,REF018,81
2024-01-01,18,REF018,85
2024-01-01,20,REF020,64
2024-01-02,1,REF001,4
2024-01-02,1,REF001,91
2024-01-02,1,REF001,62
2024-01-02,2,REF002,46
2024-01-02,2,REF002,92
2024-01-02,2,REF002,25
2024-01-02,3,REF003,42
2024-01-02,3,REF003,45
2024-01-02,3,REF003,73
2024-01-02,3,REF003,94
2024-01-02,3,REF003,27
2024-01-02,4,REF004,89
2024-01-02,4,REF004,18
2024-01-02,4,REF004,84
2024-01-02,6,REF006,77
2024-01-02,7,REF007,13
2024-01-02,7,REF007,49
2024-01-02,7,REF007,75
2024-01-02,7,REF007,72
2024-01-02,7,REF007,96
2024-01-02,7,REF007,21
2024-01-02,9,REF009,51
2024-01-02,9,REF009,19
2024-01-02,9,REF009,36
2024-01-02,9,REF009,93
2024-01-02,9,REF009,33
2024-01-02,10,REF010,86
2024-01-02,11,REF011,80
2024-01-02,12,REF012,87
2024-01-02,12,REF012,40
2024-01-02,12,REF012,89
2024-01-02,12,REF012,97
2024-01-02,12,REF012,97
2024-01-02,12,REF012,41
2024-01-02,13,REF013,44
2024-01-02,13,REF013,67
2024-01-02,13,REF013,42
2024-01-02,13,REF013,30
2024-01-02,13,REF013,33
2024-01-02,14,REF014,4
2024-01-02,14,REF014,58
2024-01-02,14,REF014,66
2024-01-02,14,REF014,90
2024-01-02,15,REF015,1
2024-01-02,15,REF015,41
2024-01-02,15,REF015,13
2024-01-02,15,REF015,79
2024-01-02,15,REF015,97
2024-01-02,15,REF015,59
2024-01-02,16,REF016,92
2024-01-02,16,REF016,84
2024-01-02,16,REF016,21
2024-01-02,17,REF017,42
2024-01-02,17,REF017,52
2024-01-02,17,REF017,48
2024-01-02,17,REF017,63
2024-01-02,18,REF018,56
2024-01-02,18,REF018,35
2024-01-02,19,REF019,67
2024-01-02,19,REF019,75
2024-01-02,19,REF019,59
2024-01-02,20,REF020,65
2024-01-02,20,REF020,75
2024-01-02,20,REF020,57
2024-01-02,20,REF020,31
2024-01-02,20,REF020,55
2024-01-02,20,REF020,45
2024-01-03,1,REF001,42
2024-01-03,1,REF001,82
2024-01-03,1,REF001,28
2024-01-03,1,REF001,31
2024-01-03,1,REF001,25
2024-01-03,1,REF001,69
2024-01-03,1,REF001,60
2024-01-03,2,REF002,88
2024-01-03,2,REF002,88
2024-01-03,3,REF003,20
2024-01-03,3,REF003,5
2024-01-03,3,REF003,81
2024-01-03,3,REF003,25
2024-01-03,3,REF003,9
2024-01-03,3,REF003,18
